;11-501;11-502;11-503;11-504;11-505;11-506;11-507;11-511;11-512; 11-541;11-521;11-522;11-531;11-400 ;11-401;11-402;11-403;11-404;11-405;11-406;11-407;11-408;11-409;11-411 ;11-412 ;11-413а ;11-301;11-302;11-303;11-304;11-305;11-306;11-307;11-308;11-311 ;11-312 ;11-314а;11-200;11-201;11-202;11-203;11-204;11-205;11-206;11-207;11-208;11-209;11-210 ;11.1-521;11.1-522;11.1-531;11.1-541;11.1-551;11.1-552;11.1-561;11.1-571
;Иностранный язык в профессиональной сфере (1-9 нед): Муфазалова Н.И.(онлайн по 1 мая) в 1301, Бибик Е.А. в 1302, Гатиятуллина Г.М. в 1303 Тагиров Р.М. в 1304, Шарифуллина А.Э. в 1305, Булина Е.Н. в 1306;;Проектный практикум, лек.

Проектный практикум,
;История России прак. 



;;Основы разработки информационных систем,


;;Иностранный язык:  Марико М.Л. в 1405, Епишева К.Д. в 1408, Нсубуга Мозес в 1412, Мухтарова Р.Й. в 1308, Файзуллина Р.А. в 1309, Воронин К.В. в 1110

;;;;;;;;;;;;;;;                   
10.10-11.40;Иностранный язык: Муфазалова Н.И (онлайн по 1 мая) в 1301, Бибик Е.А. в 1302, Гатиятуллина Г.М. в 1303, Тагиров Р.М.  в 1304, Шарифуллина А.Э.в 1305, Булина Е.Н. в 1306;;;;;Философия,


Философия,


Математический анализ, 

;Проектный практикум,

Компьютерная математика,
;Алгоритмы и структуры данных в программировании,



Теория вероятностей и математическая статистика, Григорьева И.С., ауд. 218 ;;;;;Иностранный язык: Марико М.Л. в 1405, Епишева К.Д. в 1408, Нсубуга Мозес в 1412, 


;;;;;;;;;;;;;;;;;;Основы информационного поиска,



12.10-13.40;Иностранный язык: Муфазалова Н.И в 1301, Бибик Е.А. в 1302, Гатиятуллина Г.М. в 1303, Тагиров Р.М.  в 1304, Шарифуллина А.Э.в 1305, Булина Е.Н. в 1306;;;;;Информатика и программирование, 


;;Математический анализ,

История России,



Алгоритмы и структуры данных в программировании,

Философия,


Алгоритмы и структуры данных в программировании,



Иностранный язык в профессиональной сфере: Марико М.Л. в 1405( 24.04 в ауд.1508 разово), Епишева К.Д. в 1408, Нсубуга Мозес в 1412, Мухтарова Р.Й. в 1308, Файзуллина Р.А. в 1309,  Воронин К.В. в 1110

;;;;Теория вероятностей и математическая статистика, Григорьева И.С., ауд. 108;;;;;Теория вероятностей и математическая статистика,

;Основы финансовой грамотности,




;;;;;;;;;;;;Основы информационного поиска,



13.50-15.20;Информатика и программирование,


;Алгоритмы и структуры данных,
;Алгоритмы и структуры данных,

;;Математический анализ,

История России,









Алгоритмы и структуры данных в программировании,

Компьютерная математика, практ.

Компьютерная математика,


Основы разработки информационных систем (Java) , Ференец А.А., 1-11 нед., ауд. 109

;;;;;;Основы разработки информационных систем (C#), 


;;Теория вероятностей и математическая статистика,

;Основы разработки информационных систем, лек



Элективные курсы по физической культуре и спорту  УНИКС   
;;;;;;;Элективные курсы по физической культуре и спорту, 
;Элективные курсы по физической культуре и спорту 14:00 - 15:30     
Дисциплина по выбору (1-9 нед.):
;;;;;;;;;;Профессиональный иностранный язык (английский), Гурьянова К.А., гр.№3, ауд. 1412 ;;;;;;Профессиональный иностранный язык (английский) 

15.50-17.20;Алгоритмы и структуры данных,


;;;;;;Алгоритмы и структуры данных,


;Компьютерная математика,

;Алгоритмы и структуры данных в программировании,

;;;;;;Теория вероятностей и математическая статистика, Григорьева И.С. 

;;;Теория вероятностей и математическая статистика,

Основы разработки информационных систем,

Теория вероятностей и математическая статистика,

Основы разработки информационных систем, прак.



; Архитектура программных систем,

Управление проектами,


;;;Управление проектами,


;Основы машинного обучения,

;Программная инженерия, 



Дисциплина по выбору (1-9 нед.):
;;;;;;;;;;Профессиональный иностранный язык (английский), Гурьянова К.А., гр.№3, ауд. 1412 ;;;;;;Профессиональный иностранный язык (английский) 

17.30-19.00;;;;Алгоритмы и структуры данных,

;;;;;;;;;;;;;;;Теория вероятностей и математическая статистика,

;;;Основы разработки информационных систем,

;Практикум по командной разработке,



Информационная безопасность, Мулюков Р.И.      

;;;;Информационная безопасность,

;Информационная безопасность, 

;;Программная инженерия, 


Дисциплина по выбору (1-9 нед.):

;;;;;;;;;;Профессиональный иностранный язык (английский), Гурьянова К.А., гр.№4, ауд. 1412 ;;;;;Методология научных исследований Тощев А.С. в ауд.1304 ( по неч. нед. лекц. ,по чет.нед. практ.);Профессиональный иностранный язык (английский) 

19.10-20.40;;;;Алгоритмы и структуры данных,


;;  ;;;;;;;;;;;;;;;;;;;; Технологическая (проектно-технологическая) практика (по распределению) 9 нед.
;;;;;;; Технологическая (проектно-технологическая) практика (по распределению) 9 нед.;; Технологическая (проектно-технологическая) практика (по распределению) 
Дисциплина по выбору (1-9 нед.):

